Name,Brand,Model,Variant,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Estimated_Original_Price
2022 Kia Sonet GTX Plus 1.0 DCT,Kia,Sonet 1.0,GTX PLUS DCT,Oct 2022,45K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Aug 2026,10.33 Lakh,9.6,9.7,9.0,8.3,8.4,1309000
2024 Tata Punch Creative AMT*,Tata,Punch Creative Amt*,,May 2023,8K km,Petrol,Automatic (AMT),1st Owner,Apr 2027,8.10 Lakh,10.0,9.8,9.5,9.6,9.1,950000
2022 Tata Nexon XMA (S),Tata,Nexon (S),XMA,May 2022,24K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr 2027,8.18 Lakh,9.9,9.8,9.5,9.2,8.4,895900
2015 Ford EcoSport Trend 1.5 TDCi,Ford,Ecosport Trend 1.5,TDCI,Aug 2015,143K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,4.26 Lakh,9.5,9.1,8.1,7.6,8.4,828000
2022 Tata Safari XT Plus,Tata,Safari Xt,PLUS,Jan 2022,64K km,Diesel (BSVI),Manual (Regular),2nd Owner,Mar 2027,13.47 Lakh,9.7,9.6,9.0,8.6,8.4,1735900
2020 MG Motors Hector Sharp 2.0 Diesel,Mg,Motors Hector Sharp 2.0,DIESEL,Jun 2020,36K km,Diesel (BSVI),Manual (Regular),1st Owner,Aug 2026,12.88 Lakh,9.9,9.5,9.3,9.2,8.4,1728000
2020 Hyundai Creta SX 1.5 Petrol,Hyundai,Creta 1.5,SX PETROL,Aug 2020,51K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep 2026,10.85 Lakh,9.8,9.7,9.0,9.0,8.7,1346000
2022 Hyundai Venue SX 1.5 CRDi,Hyundai,Venue 1.5 Crdi,SX,Apr 2022,81K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,9.01 Lakh,9.4,9.2,8.6,8.8,8.5,1099000
2021 Tata Nexon XZA Plus (S),Tata,Nexon (S),XZA PLUS,Jul 2021,49K km,Petrol (BSVI),Automatic (AMT),1st Owner,Aug 2026,8.54 Lakh,9.8,9.7,9.0,8.9,8.2,1155900
2024 Nissan Magnite XV Premium Turbo CVT*,Nissan,Magnite Xv Cvt*,PREMIUM TURBO,Apr 2023,37K km,Petrol (BSVI),Automatic (CVT),1st Owner,Aug 2026,8.79 Lakh,9.9,9.6,9.0,8.9,8.0,1095000
2018 Audi Q3 30 TFSI Premium*,Audi,Q3 30 Tfsi Premium*,,Nov 2017,58K km,Petrol (BSIV),Automatic,1st Owner,Dec 2026,16.90 Lakh,9.8,9.6,9.0,8.9,8.1,3220000
2023 Kia Seltos HTK Plus 1.5*,Kia,Seltos 1.5*,HTK PLUS,Sep 2022,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.44 Lakh,9.8,9.7,9.2,8.9,8.6,1285000
2022 Kia Seltos GTX Plus 1.4 DCT,Kia,Seltos 1.4,GTX PLUS DCT,Jul 2022,52K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct 2026,13.65 Lakh,9.8,9.6,9.1,8.3,8.0,1765000
2022 Nissan Magnite XV Premium Turbo CVT,Nissan,Magnite Xv,PREMIUM TURBO CVT,Mar 2022,28K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,8.11 Lakh,9.9,9.3,9.3,9.1,8.9,1000000
2021 Kia Seltos HTX IVT 1.5*,Kia,Seltos Ivt 1.5*,HTX,Dec 2020,68K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,10.70 Lakh,9.7,9.4,8.9,8.4,8.2,1389000
2023 Audi Q3 40 TFSI Technology*,Audi,Q3 40 Tfsi Technology*,,Oct 2022,22K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,35.50 Lakh,9.9,9.8,9.5,9.4,8.9,4489000
2018 Lexus NX 300h Luxury,Lexus,Nx 300H Luxury,,Jan 2018,108K km,Petrol,Automatic (CVT),2nd Owner,,26.90 Lakh,9.6,9.3,8.5,8.7,8.2,5550000
2021 Kia Seltos GTX Plus 1.5 Diesel AT,Kia,Seltos 1.5,GTX PLUS DIESEL AT,Jun 2021,102K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,12.60 Lakh,9.6,9.2,8.6,8.1,8.1,1679000
2020 Jeep Compass Limited Plus Petrol AT,Jeep,Compass Limited,PLUS PETROL AT,Nov 2020,82K km,Petrol (BSVI),Automatic (DCT),3rd Owner,Nov 2026,12 Lakh,9.6,9.0,7.8,8.5,8.3,2192000
2019 Jeep Compass Trailhawk (O) 2.0 4x4,Jeep,Compass Trailhawk 2.0 4X4,(O),Jun 2019,70K km,Diesel (BSVI),Automatic (Torque Convertor),3rd Owner,Aug 2026,13 Lakh,9.6,9.5,8.7,8.8,7.7,2680000
2021 Renault Kiger RXZ Turbo CVT,Renault,Kiger,RXZ TURBO CVT,Mar 2021,50K km,Petrol,Automatic (CVT),1st Owner,Apr 2027,7.24 Lakh,9.8,9.4,8.2,8.5,8.2,955000
2019 Audi Q5 45 TFSI Technology*,Audi,Q5 45 Tfsi Technology*,,Jul 2018,64K km,Petrol,Automatic,1st Owner,Nov 2026,25.90 Lakh,9.8,8.8,8.4,8.5,7.9,5979000
2021 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT*,Jeep,Compass Limited 2.0 4X4 At*,PLUS DIESEL,Jan 2020,49K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,15.06 Lakh,9.8,9.7,9.0,9.1,8.1,2760000
2020 MG Motors Hector Sharp 1.5 DCT Petrol,Mg,Motors Hector Sharp 1.5,DCT PETROL,Sep 2020,77K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr 2027,10.84 Lakh,9.6,9.5,8.7,8.9,8.3,1728000
2021 Kia Sonet HTX 1.5,Kia,Sonet 1.5,HTX,Jun 2021,57K km,Diesel (BSVI),Manual (Regular),2nd Owner,Apr 2027,8.54 Lakh,9.8,9.6,8.6,8.7,8.3,1039000
2021 Kia Sonet GTX Plus 1.5,Kia,Sonet 1.5,GTX PLUS,Jan 2021,53K km,Diesel,Manual (Regular),1st Owner,Jan 2027,10 Lakh,9.7,9.3,8.9,8.8,8.3,1259000
2019 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Sep 2019,35K km,Petrol,Automatic (DCT),1st Owner,Oct 2026,12.15 Lakh,9.9,9.7,8.9,8.6,8.4,1669000
2020 Kia Seltos HTX Plus 1.5 Diesel,Kia,Seltos 1.5,HTX PLUS DIESEL,Jan 2020,74K km,Diesel (BSVI),Manual (Regular),1st Owner,Jan 2027,11.46 Lakh,9.7,9.5,8.8,8.5,8.1,1549000
2020 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Nov 2020,103K km,Petrol (BSVI),Automatic (DCT),1st Owner,Dec 2026,10.79 Lakh,9.6,9.2,8.1,8.4,8.3,1729000
2021 Kia Seltos GTX Plus 1.4 DCT,Kia,Seltos 1.4,GTX PLUS DCT,Apr 2021,72K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,11.96 Lakh,9.7,9.4,8.9,8.8,7.8,1729000
2020 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Jan 2020,110K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Feb 2027,10.08 Lakh,9.6,9.2,8.7,8.0,7.8,1729000
2021 Kia Seltos GTX Plus 1.4 DCT,Kia,Seltos 1.4,GTX PLUS DCT,Mar 2021,103K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,10.86 Lakh,9.6,8.5,8.3,8.3,7.9,1749000
2020 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Mar 2020,92K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,10.83 Lakh,9.7,9.3,8.6,8.1,8.2,1729000
2021 Kia Sonet GTX Plus 1.5,Kia,Sonet 1.5,GTX PLUS,Apr 2021,30K km,Diesel,Manual (Regular),1st Owner,Apr 2027,10.30 Lakh,9.9,9.0,9.2,8.9,8.8,1284000
2023 Nissan Magnite XV Premium Turbo CVT,Nissan,Magnite Xv,PREMIUM TURBO CVT,Apr 2023,29K km,Petrol,Automatic (CVT),1st Owner,Apr 2027,8.92 Lakh,9.9,9.8,9.1,8.6,8.6,1091000
2022 Kia Seltos HTX 1.5 IVT,Kia,Seltos 1.5 Ivt,HTX,Apr 2022,54K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,12.61 Lakh,9.8,9.6,9.1,8.9,8.2,1499000
2022 MG Motors Hector Sharp 2.0 Diesel Turbo MT,Mg,Motors Hector Sharp 2.0,DIESEL TURBO MT,Feb 2022,35K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb 2027,15.40 Lakh,9.9,9.5,9.1,9.2,8.2,1998800
2021 MG Motors Hector Sharp 1.5 Petrol CVT,Mg,Motors Hector Sharp 1.5,PETROL CVT,Feb 2021,50K km,Petrol,Automatic (CVT),1st Owner,Apr 2027,13.44 Lakh,9.8,9.5,8.9,8.5,8.3,1658800
2024 BMW X1 sDrive18d M Sport*,Bmw,X1 Sdrive18D M Sport*,,Apr 2023,23K km,Diesel (BSIV),Automatic (DCT),1st Owner,Dec 2026,45.50 Lakh,9.9,9.8,9.3,9.3,8.6,4890000
2022 Volkswagen Taigun Topline 1.0 TSI MT,Volkswagen,Taigun Topline 1.0 Tsi,MT,Feb 2022,120K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,11.04 Lakh,9.6,8.9,7.9,7.9,8.4,1539900
2021 Kia Sonet HTK Plus 1.5 AT,Kia,Sonet 1.5,HTK PLUS AT,May 2021,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,9.16 Lakh,9.7,9.5,8.9,8.6,7.8,1039000
2023 Kia Sonet GTX Plus 1.0 DCT,Kia,Sonet 1.0,GTX PLUS DCT,Jan 2023,35K km,Petrol (BSVI),Automatic (DCT),1st Owner,Jan 2027,11.81 Lakh,9.9,9.7,9.3,9.4,8.2,1377000
2021 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Apr 2021,82K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,11.55 Lakh,9.7,9.4,8.1,8.7,7.8,1729000
2023 Tata Nexon Fearless Plus 1.2 Revotron Petrol 6MT,Tata,Nexon Fearless 1.2 Revotron 6Mt,PLUS PETROL,Aug 2023,28K km,Petrol,Manual (Regular),1st Owner,Apr 2027,10.40 Lakh,9.9,9.8,8.6,9.4,9.0,1260000
2016 Ford EcoSport Titanium+ 1.5L TDCi,Ford,Ecosport Titanium+ 1.5L,TDCI,Aug 2016,132K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.47 Lakh,9.1,8.4,7.2,7.9,8.0,1020000
2020 Tata Nexon XMA (S) Diesel,Tata,Nexon (S),XMA DIESEL,Sep 2020,71K km,Diesel (BSVI),Automatic (AMT),2nd Owner,Apr 2027,7 Lakh,9.7,9.5,9.0,8.8,8.4,999000
2022 Tata Nexon XZA Plus (O) Dual Tone,Tata,Nexon Dual Tone,XZA PLUS (O),Mar 2022,41K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr 2027,10 Lakh,9.8,9.6,9.1,8.5,8.0,1170900
2023 Kia Seltos HTX 1.5,Kia,Seltos 1.5,HTX,Jan 2023,49K km,Petrol (BSVI),Manual (Regular),1st Owner,Mar 2027,12.70 Lakh,9.8,9.7,9.1,,10.0,1519900
2020 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Aug 2020,80K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr 2027,10.30 Lakh,9.7,9.5,9.0,8.8,8.7,1729000
2023 Volkswagen Taigun Topline 1.0 TSI MT*,Volkswagen,Taigun Topline 1.0 Tsi Mt*,,Dec 2022,74K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.19 Lakh,9.7,9.4,9.1,8.1,8.2,1540900
2022 Hyundai Creta SX 1.5 Petrol IVT,Hyundai,Creta 1.5 Ivt,SX PETROL,Feb 2022,102K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,11.91 Lakh,9.6,9.3,8.6,8.4,8.0,1633000
2023 Volkswagen Taigun Topline 1.0 TSI MT*,Volkswagen,Taigun Topline 1.0 Tsi Mt*,,Nov 2022,50K km,Petrol (BSVI),Manual (Regular),1st Owner,Aug 2026,10.65 Lakh,9.6,9.7,8.7,9.1,8.5,1559900
2020 Kia Seltos GTX Plus AT 1.5 Diesel,Kia,Seltos 1.5,GTX PLUS AT DIESEL,Jan 2020,120K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Apr 2027,10.80 Lakh,9.6,9.1,7.6,8.1,8.5,1649000
2020 Kia Seltos HTX 1.5,Kia,Seltos 1.5,HTX,Jul 2020,66K km,Petrol (BSVI),Manual (Regular),1st Owner,Aug 2026,10.06 Lakh,9.8,9.6,8.9,8.9,8.3,1334000
2019 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Sep 2019,106K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,10.05 Lakh,9.6,9.2,8.2,8.0,7.4,1669000
2022 MG Motors Hector Sharp 1.5 Petrol CVT,Mg,Motors Hector Sharp 1.5,PETROL CVT,Feb 2022,64K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,13.74 Lakh,9.8,9.6,9.3,9.3,8.3,1988800
2023 Maruti Suzuki Fronx Alpha 1.0L Turbo 6 AT,Maruti,Suzuki Fronx 1.0L 6,ALPHA TURBO AT,Apr 2023,88K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,9.47 Lakh,9.7,9.4,8.5,7.9,7.3,1314000
2021 Kia Seltos GTX Plus 1.5 Diesel AT,Kia,Seltos 1.5,GTX PLUS DIESEL AT,Oct 2021,120K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Nov 2026,12.43 Lakh,9.5,8.5,8.2,8.7,8.6,1749000
2022 Volkswagen Taigun Highline 1.0 TSI MT,Volkswagen,Taigun Highline 1.0 Tsi,MT,Mar 2022,62K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.49 Lakh,9.8,9.6,9.1,8.8,8.3,1549900
2022 Volkswagen Taigun Topline 1.0 TSI MT*,Volkswagen,Taigun Topline 1.0 Tsi Mt*,,Nov 2021,120K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.47 Lakh,9.3,9.2,7.6,8.1,7.4,1549900
2020 Hyundai Creta SX (O) 1.5 Diesel,Hyundai,Creta 1.5,SX (O) DIESEL,Aug 2020,52K km,Diesel (BSVI),Manual (Regular),2nd Owner,Apr 2027,12.46 Lakh,9.7,9.5,9.3,8.9,8.5,1720000
2016 Ford EcoSport Titanium 1.5L Ti-VCT,Ford,Ecosport Titanium 1.5L Ti-Vct,,Nov 2016,111K km,Petrol (BSIV),Manual (Regular),1st Owner,Nov 2026,5.09 Lakh,9.6,9.2,8.3,8.1,8.6,948500
2023 Kia Seltos HTX 1.5*,Kia,Seltos 1.5*,HTX,Nov 2022,47K km,Petrol (BSVI),Manual (Regular),1st Owner,Jan 2027,11.92 Lakh,9.8,9.6,8.9,8.6,8.4,1449000
2022 Kia Seltos GTX Plus 1.5 Diesel AT,Kia,Seltos 1.5,GTX PLUS DIESEL AT,Mar 2022,49K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Sep 2026,14.44 Lakh,9.8,9.6,9.4,9.1,8.2,1545000
2025 Hyundai Venue SX 1.2 Petrol,Hyundai,Venue 1.2,SX PETROL,Mar 2025,6K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,11.24 Lakh,10.0,10.0,9.9,9.7,9.6,1113000
2017 Maruti Suzuki S-Cross Zeta 1.3,Maruti,Suzuki S-Cross 1.3,ZETA,May 2017,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.81 Lakh,9.3,9.4,8.2,8.1,8.0,1045000
2022 Nissan Magnite XV Premium Turbo CVT,Nissan,Magnite Xv,PREMIUM TURBO CVT,Feb 2022,32K km,Petrol (BSVI),Automatic (CVT),1st Owner,Mar 2027,8.07 Lakh,9.9,9.7,9.5,8.7,8.7,1000000
2023 Kia Sonet HTK Plus 1.2 Petrol MT,Kia,Sonet 1.2,HTK PLUS PETROL MT,May 2023,11K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,8.46 Lakh,9.9,9.9,9.8,9.6,9.4,989000
2017 Maruti Suzuki Vitara Brezza ZDi+ Dual Tone,Maruti,Suzuki Vitara Brezza Zdi+ Dual Tone,,Feb 2017,105K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,6.86 Lakh,9.6,9.3,8.3,7.7,8.1,991000
2021 Kia Sonet HTX 1.5,Kia,Sonet 1.5,HTX,Feb 2021,46K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,9.17 Lakh,9.7,9.5,8.8,9.0,8.2,1039000
2023 Hyundai Alcazar Signature 6 STR 1.5 Diesel*,Hyundai,Alcazar Signature 6 Str 1.5 Diesel*,,Nov 2022,70K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14.51 Lakh,9.7,9.1,9.0,9.0,8.5,1965000
2021 Kia Seltos HTX 1.5 IVT,Kia,Seltos 1.5 Ivt,HTX,Aug 2021,84K km,Petrol (BSVI),Automatic (CVT),2nd Owner,Apr 2027,9.80 Lakh,9.7,9.4,8.7,8.4,7.4,1449000
2022 Kia Seltos GTX Plus 1.4 DCT,Kia,Seltos 1.4,GTX PLUS DCT,Jul 2022,41K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,14.20 Lakh,9.6,9.6,9.4,8.8,8.0,1749000
2018 Mahindra XUV500 W11 AT,Mahindra,Xuv500 W11,AT,May 2018,76K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,11.91 Lakh,9.3,9.5,8.3,8.6,8.3,1898000
2015 Ford EcoSport Titanium 1.5 TDCi,Ford,Ecosport Titanium 1.5,TDCI,Mar 2015,146K km,Diesel (BSIV),Manual (Regular),1st Owner,Mar 2027,4.74 Lakh,9.4,9.0,8.0,7.7,8.4,986000
2024 Maruti Suzuki Brezza ZXi Plus*,Maruti,Suzuki Brezza Plus*,ZXI,Sep 2023,20K km,Petrol (BSVI),Manual (Regular),2nd Owner,Jan 2027,10.40 Lakh,9.9,9.9,9.7,9.5,9.3,1258000
2020 Kia Sonet GTX Plus 1.0 DCT,Kia,Sonet 1.0,GTX PLUS DCT,Nov 2020,43K km,Petrol (BSVI),Automatic (DCT),1st Owner,Nov 2026,9.35 Lakh,9.7,9.7,9.0,8.8,8.5,1289000
2022 Kia Sonet Anniversary Edition 1.5,Kia,Sonet Anniversary 1.5,EDITION,Apr 2022,69K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,9 Lakh,9.6,9.4,8.7,8.4,8.0,1165000
2020 Kia Seltos GTX Plus DCT 1.4*,Kia,Seltos 1.4*,GTX PLUS DCT,Nov 2019,109K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr 2027,9.51 Lakh,9.6,8.8,7.8,8.1,8.0,1669000
2020 Kia Seltos GTX Plus DCT 1.4*,Kia,Seltos 1.4*,GTX PLUS DCT,Nov 2019,90K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr 2027,10.49 Lakh,9.7,9.3,7.7,8.0,8.1,1669000
2018 Renault Duster 110 PS RXZ 4X2 MT Diesel,Renault,Duster 110 Ps 4X2,RXZ MT DIESEL,Oct 2018,86K km,Diesel,Manual (Regular),1st Owner,Nov 2026,6.55 Lakh,9.6,9.2,8.3,8.6,8.2,1279000
2019 Kia Seltos GTX Plus 1.4,Kia,Seltos 1.4,GTX PLUS,Aug 2019,64K km,Petrol (BSIV),Manual (Regular),1st Owner,Sep 2026,10.70 Lakh,9.8,9.4,9.0,8.6,8.0,1669000
2022 MG Motors Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,Mg,Motors Hector Sharp 1.5 6-Str,PLUS PETROL TURBO CVT,Mar 2022,62K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,14.46 Lakh,9.7,9.3,8.9,8.1,8.4,2130800
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT*,Maruti,Suzuki Fronx 1.0L Mt*,ALPHA TURBO,Apr 2023,12K km,Petrol,Manual (Regular),1st Owner,Dec 2026,9.98 Lakh,9.9,9.9,9.8,9.2,9.2,1297000
2019 Hyundai Creta SX 1.6 AT CRDi*,Hyundai,Creta 1.6 Crdi*,SX AT,Nov 2018,92K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Feb 2027,9.97 Lakh,9.5,8.9,8.3,7.7,8.0,1503997
