Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Depreciation_Percent,Price_Lost_Per_Year,Km_Per_Year,Ownership_Impact,Luxury_Score,Wear_Price_Ratio,Total_Feature_Score
Kia,Sonet 1.0,4,45000,Petrol,Automatic (Dct),2,1033000,1309000,9.6,9.7,9.0,8.3,8.4,21.08479755538579,69000.0,11250.0,8,9.149999999999999,8.131655372700872e-06,44.99999999999999
Tata,Punch Creative Amt*,3,8000,Petrol,Automatic (Amt),1,810000,950000,10.0,9.8,9.5,9.6,9.1,14.736842105263156,46666.666666666664,2666.6666666666665,3,9.725,1.1234567901234567e-05,48.0
Tata,Nexon (S),4,24000,Petrol,Automatic (Amt),1,818000,895900,9.9,9.8,9.5,9.2,8.4,8.6951668713026,19475.0,6000.0,4,9.600000000000001,1.0268948655256725e-05,46.800000000000004
Ford,Ecosport Trend 1.5,11,143000,Diesel,Manual (Regular),1,426000,828000,9.5,9.1,8.1,7.6,8.4,48.55072463768116,36545.454545454544,13000.0,11,8.575000000000001,1.971830985915493e-05,42.7
Tata,Safari Xt,4,64000,Diesel,Manual (Regular),2,1347000,1735900,9.7,9.6,9.0,8.6,8.4,22.40336424909269,97225.0,16000.0,8,9.225,6.23608017817372e-06,45.3
Mg,Motors Hector Sharp 2.0,6,36000,Diesel,Manual (Regular),1,1288000,1728000,9.9,9.5,9.3,9.2,8.4,25.462962962962965,73333.33333333333,6000.0,6,9.475,6.521739130434783e-06,46.3
Hyundai,Creta 1.5,6,51000,Petrol,Manual (Regular),1,1085000,1346000,9.8,9.7,9.0,9.0,8.7,19.390787518573553,43500.0,8500.0,6,9.375,8.018433179723501e-06,46.2
Hyundai,Venue 1.5 Crdi,4,81000,Diesel,Manual (Regular),1,901000,1099000,9.4,9.2,8.6,8.8,8.5,18.016378525932666,49500.0,20250.0,4,9.0,9.433962264150944e-06,44.5
Tata,Nexon (S),5,49000,Petrol,Automatic (Amt),1,854000,1155900,9.8,9.7,9.0,8.9,8.2,26.118176312829828,60380.0,9800.0,5,9.35,9.601873536299764e-06,45.599999999999994
Nissan,Magnite Xv Cvt*,3,37000,Petrol,Automatic (Cvt),1,879000,1095000,9.9,9.6,9.0,8.9,8.0,19.726027397260275,72000.0,12333.333333333334,3,9.35,9.101251422070534e-06,45.4
Audi,Q3 30 Tfsi Premium*,9,58000,Petrol,Automatic,1,1690000,3220000,9.8,9.6,9.0,8.9,8.1,47.51552795031056,170000.0,6444.444444444444,9,9.325,4.7928994082840236e-06,45.4
Kia,Seltos 1.5*,4,45000,Petrol,Manual (Regular),1,1044000,1285000,9.8,9.7,9.2,8.9,8.6,18.754863813229573,60250.0,11250.0,4,9.4,8.237547892720306e-06,46.2
Kia,Seltos 1.4,4,52000,Petrol,Automatic (Dct),2,1365000,1765000,9.8,9.6,9.1,8.3,8.0,22.6628895184136,100000.0,13000.0,8,9.2,5.860805860805861e-06,44.8
Nissan,Magnite Xv,4,28000,Petrol,Automatic (Cvt),1,811000,1000000,9.9,9.3,9.3,9.1,8.9,18.9,47250.0,7000.0,4,9.4,1.0974106041923552e-05,46.5
Kia,Seltos Ivt 1.5*,6,68000,Petrol,Automatic (Cvt),1,1070000,1389000,9.7,9.4,8.9,8.4,8.2,22.966162706983443,53166.666666666664,11333.333333333334,6,9.1,7.663551401869157e-06,44.599999999999994
Audi,Q3 40 Tfsi Technology*,4,22000,Petrol,Automatic (Dct),1,3550000,4489000,9.9,9.8,9.5,9.4,8.9,20.917799064379594,234750.0,5500.0,4,9.65,2.507042253521127e-06,47.5
Lexus,Nx 300H Luxury,8,108000,Petrol,Automatic (Cvt),2,2690000,5550000,9.6,9.3,8.5,8.7,8.2,51.53153153153153,357500.0,13500.0,16,9.024999999999999,3.048327137546468e-06,44.3
Kia,Seltos 1.5,5,102000,Diesel,Automatic (Torque Convertor),1,1260000,1679000,9.6,9.2,8.6,8.1,8.1,24.95533055390113,83800.0,20400.0,5,8.875,6.428571428571429e-06,43.6
Jeep,Compass Limited,6,82000,Petrol,Automatic (Dct),3,1200000,2192000,9.6,9.0,7.8,8.5,8.3,45.25547445255474,165333.33333333334,13666.666666666666,18,8.725000000000001,6.916666666666668e-06,43.2
Jeep,Compass Trailhawk 2.0 4X4,7,70000,Diesel,Automatic (Torque Convertor),3,1300000,2680000,9.6,9.5,8.7,8.8,7.7,51.49253731343284,197142.85714285713,10000.0,21,9.15,5.923076923076923e-06,44.300000000000004
Renault,Kiger,5,50000,Petrol,Automatic (Cvt),1,724000,955000,9.8,9.4,8.2,8.5,8.2,24.18848167539267,46200.0,10000.0,5,8.975000000000001,1.1325966850828729e-05,44.10000000000001
Audi,Q5 45 Tfsi Technology*,8,64000,Petrol,Automatic,1,2590000,5979000,9.8,8.8,8.4,8.5,7.9,56.68171935106206,423625.0,8000.0,8,8.875,3.0501930501930503e-06,43.4
Jeep,Compass Limited 2.0 4X4 At*,6,49000,Diesel,Automatic (Torque Convertor),1,1506000,2760000,9.8,9.7,9.0,9.1,8.1,45.43478260869565,209000.0,8166.666666666667,6,9.4,5.378486055776892e-06,45.7
Mg,Motors Hector Sharp 1.5,6,77000,Petrol,Automatic (Dct),1,1084000,1728000,9.6,9.5,8.7,8.9,8.3,37.26851851851852,107333.33333333333,12833.333333333334,6,9.175,7.656826568265684e-06,45.0
Kia,Sonet 1.5,5,57000,Diesel,Manual (Regular),2,854000,1039000,9.8,9.6,8.6,8.7,8.3,17.805582290664102,37000.0,11400.0,10,9.175,9.71896955503513e-06,45.0
Kia,Sonet 1.5,5,53000,Diesel,Manual (Regular),1,1000000,1259000,9.7,9.3,8.9,8.8,8.3,20.57188244638602,51800.0,10600.0,5,9.175,8.3e-06,45.0
Kia,Seltos 1.4,7,35000,Petrol,Automatic (Dct),1,1215000,1669000,9.9,9.7,8.9,8.6,8.4,27.20191731575794,64857.142857142855,5000.0,7,9.275,6.913580246913581e-06,45.5
Kia,Seltos 1.5,6,74000,Diesel,Manual (Regular),1,1146000,1549000,9.7,9.5,8.8,8.5,8.1,26.016785022595222,67166.66666666667,12333.333333333334,6,9.125,7.0680628272251304e-06,44.6
