Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Kia,Sonet 1.0,4,45000.0,Petrol,Automatic (Dct),2.0,1033000.0,1309000,9.6,9.7,9.0,8.3,8.4
Tata,Punch Creative Amt*,3,8000.0,Petrol,Automatic (Amt),1.0,810000.0,950000,10.0,9.8,9.5,9.6,9.1
Tata,Nexon (S),4,24000.0,Petrol,Automatic (Amt),1.0,818000.0,895900,9.9,9.8,9.5,9.2,8.4
Ford,Ecosport Trend 1.5,11,143000.0,Diesel,Manual (Regular),1.0,426000.0,828000,9.5,9.1,8.1,7.6,8.4
Tata,Safari Xt,4,64000.0,Diesel,Manual (Regular),2.0,1347000.0,1735900,9.7,9.6,9.0,8.6,8.4
Mg,Motors Hector Sharp 2.0,6,36000.0,Diesel,Manual (Regular),1.0,1288000.0,1728000,9.9,9.5,9.3,9.2,8.4
Hyundai,Creta 1.5,6,51000.0,Petrol,Manual (Regular),1.0,1085000.0,1346000,9.8,9.7,9.0,9.0,8.7
Hyundai,Venue 1.5 Crdi,4,81000.0,Diesel,Manual (Regular),1.0,901000.0,1099000,9.4,9.2,8.6,8.8,8.5
Tata,Nexon (S),5,49000.0,Petrol,Automatic (Amt),1.0,853999.9999999999,1155900,9.8,9.7,9.0,8.9,8.2
Nissan,Magnite Xv Cvt*,3,37000.0,Petrol,Automatic (Cvt),1.0,878999.9999999999,1095000,9.9,9.6,9.0,8.9,8.0
Audi,Q3 30 Tfsi Premium*,9,58000.0,Petrol,Automatic,1.0,1689999.9999999998,3220000,9.8,9.6,9.0,8.9,8.1
Kia,Seltos 1.5*,4,45000.0,Petrol,Manual (Regular),1.0,1044000.0,1285000,9.8,9.7,9.2,8.9,8.6
Kia,Seltos 1.4,4,52000.0,Petrol,Automatic (Dct),2.0,1365000.0,1765000,9.8,9.6,9.1,8.3,8.0
Nissan,Magnite Xv,4,28000.0,Petrol,Automatic (Cvt),1.0,811000.0,1000000,9.9,9.3,9.3,9.1,8.9
Kia,Seltos Ivt 1.5*,6,68000.0,Petrol,Automatic (Cvt),1.0,1070000.0,1389000,9.7,9.4,8.9,8.4,8.2
Audi,Q3 40 Tfsi Technology*,4,22000.0,Petrol,Automatic (Dct),1.0,3550000.0,4489000,9.9,9.8,9.5,9.4,8.9
Lexus,Nx 300H Luxury,8,108000.0,Petrol,Automatic (Cvt),2.0,2690000.0,5550000,9.6,9.3,8.5,8.7,8.2
Kia,Seltos 1.5,5,102000.0,Diesel,Automatic (Torque Convertor),1.0,1260000.0,1679000,9.6,9.2,8.6,8.1,8.1
Jeep,Compass Limited,6,82000.0,Petrol,Automatic (Dct),3.0,1200000.0,2192000,9.6,9.0,7.8,8.5,8.3
Jeep,Compass Trailhawk 2.0 4X4,7,70000.0,Diesel,Automatic (Torque Convertor),3.0,1300000.0,2680000,9.6,9.5,8.7,8.8,7.7
Renault,Kiger,5,50000.0,Petrol,Automatic (Cvt),1.0,724000.0,955000,9.8,9.4,8.2,8.5,8.2
Audi,Q5 45 Tfsi Technology*,8,64000.0,Petrol,Automatic,1.0,2590000.0,5979000,9.8,8.8,8.4,8.5,7.9
Jeep,Compass Limited 2.0 4X4 At*,6,49000.0,Diesel,Automatic (Torque Convertor),1.0,1506000.0,2760000,9.8,9.7,9.0,9.1,8.1
Mg,Motors Hector Sharp 1.5,6,77000.0,Petrol,Automatic (Dct),1.0,1084000.0,1728000,9.6,9.5,8.7,8.9,8.3
Kia,Sonet 1.5,5,57000.0,Diesel,Manual (Regular),2.0,853999.9999999999,1039000,9.8,9.6,8.6,8.7,8.3
Kia,Sonet 1.5,5,53000.0,Diesel,Manual (Regular),1.0,1000000.0,1259000,9.7,9.3,8.9,8.8,8.3
Kia,Seltos 1.4,7,35000.0,Petrol,Automatic (Dct),1.0,1215000.0,1669000,9.9,9.7,8.9,8.6,8.4
Kia,Seltos 1.5,6,74000.0,Diesel,Manual (Regular),1.0,1146000.0,1549000,9.7,9.5,8.8,8.5,8.1
Kia,Seltos 1.4,6,103000.0,Petrol,Automatic (Dct),1.0,1079000.0,1729000,9.6,9.2,8.1,8.4,8.3
