Name,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
2022 Kia Sonet GTX Plus 1.0 DCT,Oct-22,45K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Aug-26,10.33 Lakh,9.6,9.7,9,8.3,8.4
2024 Tata Punch Creative AMT*,May-23,8K km,Petrol,Automatic (AMT),1st Owner,Apr-27,8.10 Lakh,10,9.8,9.5,9.6,9.1
2022 Tata Nexon XMA (S),May-22,24K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr-27,8.18 Lakh,9.9,9.8,9.5,9.2,8.4
2015 Ford EcoSport Trend 1.5 TDCi,Aug-15,143K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,4.26 Lakh,9.5,9.1,8.1,7.6,8.4
2022 Tata Safari XT Plus,Jan-22,64K km,Diesel (BSVI),Manual (Regular),2nd Owner,Mar-27,13.47 Lakh,9.7,9.6,9,8.6,8.4
2020 MG Motors Hector Sharp 2.0 Diesel,Jun-20,36K km,Diesel (BSVI),Manual (Regular),1st Owner,Aug-26,12.88 Lakh,9.9,9.5,9.3,9.2,8.4
2020 Hyundai Creta SX 1.5 Petrol,Aug-20,51K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep-26,10.85 Lakh,9.8,9.7,9,9,8.7
2022 Hyundai Venue SX 1.5 CRDi,Apr-22,81K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,9.01 Lakh,9.4,9.2,8.6,8.8,8.5
2021 Tata Nexon XZA Plus (S),Jul-21,49K km,Petrol (BSVI),Automatic (AMT),1st Owner,Aug-26,8.54 Lakh,9.8,9.7,9,8.9,8.2
2024 Nissan Magnite XV Premium Turbo CVT*,Apr-23,37K km,Petrol (BSVI),Automatic (CVT),1st Owner,Aug-26,8.79 Lakh,9.9,9.6,9,8.9,8
2018 Audi Q3 30 TFSI Premium*,Nov-17,58K km,Petrol (BSIV),Automatic,1st Owner,Dec-26,16.90 Lakh,9.8,9.6,9,8.9,8.1
2023 Kia Seltos HTK Plus 1.5*,Sep-22,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.44 Lakh,9.8,9.7,9.2,8.9,8.6
2022 Kia Seltos GTX Plus 1.4 DCT,Jul-22,52K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct-26,13.65 Lakh,9.8,9.6,9.1,8.3,8
2022 Nissan Magnite XV Premium Turbo CVT,Mar-22,28K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,8.11 Lakh,9.9,9.3,9.3,9.1,8.9
2021 Kia Seltos HTX IVT 1.5*,Dec-20,68K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,10.70 Lakh,9.7,9.4,8.9,8.4,8.2
2023 Audi Q3 40 TFSI Technology*,Oct-22,22K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,35.50 Lakh,9.9,9.8,9.5,9.4,8.9
2018 Lexus NX 300h Luxury,Jan-18,108K km,Petrol,Automatic (CVT),2nd Owner,,26.90 Lakh,9.6,9.3,8.5,8.7,8.2
2021 Kia Seltos GTX Plus 1.5 Diesel AT,Jun-21,102K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,12.60 Lakh,9.6,9.2,8.6,8.1,8.1
2020 Jeep Compass Limited Plus Petrol AT,Nov-20,82K km,Petrol (BSVI),Automatic (DCT),3rd Owner,Nov-26,12 Lakh,9.6,9,7.8,8.5,8.3
2019 Jeep Compass Trailhawk (O) 2.0 4x4,Jun-19,70K km,Diesel (BSVI),Automatic (Torque Convertor),3rd Owner,Aug-26,13 Lakh,9.6,9.5,8.7,8.8,7.7
2021 Renault Kiger RXZ Turbo CVT,Mar-21,50K km,Petrol,Automatic (CVT),1st Owner,Apr-27,7.24 Lakh,9.8,9.4,8.2,8.5,8.2
2019 Audi Q5 45 TFSI Technology*,Jul-18,64K km,Petrol,Automatic,1st Owner,Nov-26,25.90 Lakh,9.8,8.8,8.4,8.5,7.9
2021 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT*,Jan-20,49K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,15.06 Lakh,9.8,9.7,9,9.1,8.1
2020 MG Motors Hector Sharp 1.5 DCT Petrol,Sep-20,77K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr-27,10.84 Lakh,9.6,9.5,8.7,8.9,8.3
2021 Kia Sonet HTX 1.5,Jun-21,57K km,Diesel (BSVI),Manual (Regular),2nd Owner,Apr-27,8.54 Lakh,9.8,9.6,8.6,8.7,8.3
2021 Kia Sonet GTX Plus 1.5,Jan-21,53K km,Diesel,Manual (Regular),1st Owner,Jan-27,10 Lakh,9.7,9.3,8.9,8.8,8.3
2019 Kia Seltos GTX Plus DCT 1.4,Sep-19,35K km,Petrol,Automatic (DCT),1st Owner,Oct-26,12.15 Lakh,9.9,9.7,8.9,8.6,8.4
2020 Kia Seltos HTX Plus 1.5 Diesel,Jan-20,74K km,Diesel (BSVI),Manual (Regular),1st Owner,Jan-27,11.46 Lakh,9.7,9.5,8.8,8.5,8.1
2020 Kia Seltos GTX Plus DCT 1.4,Nov-20,103K km,Petrol (BSVI),Automatic (DCT),1st Owner,Dec-26,10.79 Lakh,9.6,9.2,8.1,8.4,8.3
2021 Kia Seltos GTX Plus 1.4 DCT,Apr-21,72K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,11.96 Lakh,9.7,9.4,8.9,8.8,7.8
2020 Kia Seltos GTX Plus DCT 1.4,Jan-20,110K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Feb-27,10.08 Lakh,9.6,9.2,8.7,8,7.8
2021 Kia Seltos GTX Plus 1.4 DCT,Mar-21,103K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,10.86 Lakh,9.6,8.5,8.3,8.3,7.9
